D  ELWP  Npart  beta_z  gamma_z  kappa_z  zeta1_z  alpha_eff
   0.00200000  0.0        58.0000        4.41466       -2.82391       0.240129      0.0341554       0.582481
   0.00300000  0.0        69.0000        3.36595       -2.59940       0.241038      0.0518853       0.619384
   0.00400000  0.0        72.0000        1.17521       -2.06344       0.226984      0.0959158       0.637770
   0.00500000  0.0        93.0000        1.53466       -2.20394       0.202231      0.0686141       0.641597
   0.00600000  0.0        82.0000       0.798874       -2.04270       0.198657       0.114658       0.619425
   0.00700000  0.0        99.0000       0.631846       -1.92203       0.190647       0.131802       0.650015
   0.00800000  0.0        79.0000       0.812947       -2.01189       0.213314       0.105341       0.639639
   0.00900000  0.0        72.0000       0.654903       -1.94438       0.218834       0.115685       0.627827
    0.0100000  0.0        62.0000       0.981079       -2.15984       0.192762      0.0910432       0.642673
    0.0110000  0.0        80.0000       0.677164       -1.95805       0.147680       0.135500       0.633344
    0.0120000  0.0        83.0000       0.691729       -1.96005       0.179719       0.107158       0.622030
    0.0130000  0.0        74.0000       0.806015       -2.04642       0.191194       0.114032       0.637128
    0.0140000  0.0        56.0000       0.783174       -2.03640       0.195799       0.111871       0.647820
    0.0150000  0.0        67.0000       0.674638       -1.97471       0.180720       0.114650       0.636054
    0.0160000  0.0        79.0000       0.750036       -2.02721       0.207519       0.101164       0.666139
    0.0170000  0.0        99.0000       0.659809       -1.98438       0.185593       0.114573       0.682966
    0.0180000  0.0        114.000       0.573509       -1.94963       0.175830       0.125150       0.664585
    0.0190000  0.0        112.000       0.708248       -2.01545       0.178575       0.107691       0.664306
    0.0200000  0.0        98.0000       0.626595       -1.98041       0.182152       0.137329       0.654675
    0.0210000  0.0        77.0000       0.544214       -1.92570       0.200318       0.130370       0.627289
    0.0220000  0.0        59.0000       0.523207       -1.91009       0.223650       0.140645       0.578007
    0.0230000  0.0        49.0000       0.396104       -1.80046       0.175903       0.186216       0.596965
   0.00200000  0.1        61.0000        3.37524       -1.98237       0.312341        1.04088       0.619561
   0.00300000  0.1        63.0000        4.41839       -3.06041       0.211783      0.0446260       0.624884
   0.00400000  0.1        61.0000        3.88791       -2.90648       0.171770      0.0400102       0.635947
   0.00500000  0.1        88.0000        3.56102       -2.84919       0.161945      0.0457348       0.648576
   0.00600000  0.1        99.0000        2.04488       -2.55698       0.165554      0.0698692       0.658154
   0.00700000  0.1        105.000        1.18304       -2.26017       0.158345      0.0717662       0.645920
   0.00800000  0.1        76.0000        1.20194       -2.29273       0.147461      0.0701195       0.639843
   0.00900000  0.1        66.0000        1.01262       -2.23481       0.145582      0.0753408       0.656318
    0.0100000  0.1        63.0000       0.803115       -2.12281       0.146323      0.0957234       0.651215
    0.0110000  0.1        60.0000       0.810822       -2.14596       0.163288      0.0987800       0.639618
    0.0120000  0.1        55.0000       0.417665       -1.88163       0.175462       0.115535       0.670324
    0.0130000  0.1        69.0000       0.509443       -1.94221       0.128784       0.134200       0.676042
    0.0140000  0.1        60.0000       0.445699       -1.86132       0.152789       0.156477       0.705554
    0.0150000  0.1        58.0000       0.482534       -1.89425       0.198280       0.158665       0.706800
    0.0160000  0.1        59.0000       0.338203       -1.85730       0.161177       0.169075       0.680935
    0.0170000  0.1        78.0000       0.489827       -1.96204       0.154691       0.140489       0.697734
    0.0180000  0.1        71.0000       0.397738       -1.87414       0.148114       0.133264       0.709616
    0.0190000  0.1        83.0000       0.276187       -1.73670       0.130922       0.177539       0.714463
    0.0200000  0.1        70.0000       0.336374       -1.79040       0.150129       0.174537       0.706691
    0.0210000  0.1        55.0000       0.188926       -1.59925       0.155506       0.222501       0.696188
    0.0220000  0.1        69.0000       0.196053       -1.63960       0.158448       0.163435       0.664957
    0.0230000  0.1        66.0000       0.234104       -1.67711       0.167599       0.161909       0.680857
   0.00200000  0.2        60.0000        1.55213       -3.07226       0.182411      0.0869703       0.665362
   0.00300000  0.2        62.0000        7.29690       -3.56225       0.198542      0.0322159       0.612052
   0.00400000  0.2        68.0000        10.2762       -3.60353       0.181731      0.0264934       0.637847
   0.00500000  0.2        89.0000        5.96689       -3.20866       0.129147      0.0369585       0.656603
   0.00600000  0.2        88.0000        3.15559       -2.92718       0.155982      0.0502412       0.633081
   0.00700000  0.2        67.0000        1.99756       -2.63400       0.177165      0.0593757       0.646726
   0.00800000  0.2        69.0000        2.17073       -2.63792       0.152521      0.0665770       0.642104
   0.00900000  0.2        61.0000        2.01284       -2.57588       0.178857      0.0770153       0.644681
    0.0100000  0.2        48.0000        1.36302       -2.39815       0.180217      0.0639770       0.647478
    0.0110000  0.2        55.0000        1.06187       -2.27041       0.149795      0.0906729       0.657560
    0.0120000  0.2        73.0000       0.904794       -2.21594       0.150968       0.100614       0.672471
    0.0130000  0.2        72.0000       0.596576       -2.07169       0.149342       0.116827       0.676718
